Date,Open,High,Low,Close,Adj Close,Volume
2023-03-17,4137.370117,4174.669922,4042.750000,4064.989990,4064.989990,91671600
2023-03-20,4054.699951,4136.189941,3980.939941,4119.419922,4119.419922,69870000
2023-03-21,4139.890137,4206.930176,4139.890137,4181.600098,4181.600098,49518700
2023-03-22,4174.899902,4212.810059,4167.120117,4195.700195,4195.700195,37398200
2023-03-23,4195.220215,4215.200195,4166.000000,4207.140137,4207.140137,34031200
2023-03-24,4193.160156,4193.160156,4093.159912,4130.620117,4130.620117,56567300
2023-03-27,4133.799805,4190.140137,4133.799805,4164.620117,4164.620117,34829300
2023-03-28,4169.529785,4205.350098,4157.109863,4168.209961,4168.209961,30414100
2023-03-29,4168.609863,4233.589844,4168.609863,4231.270020,4231.270020,33769300
2023-03-30,4232.589844,4295.319824,4232.589844,4285.419922,4285.419922,29622300
2023-03-31,4285.839844,4325.339844,4278.310059,4315.049805,4315.049805,36312200
2023-04-03,4312.990234,4329.290039,4304.890137,4311.049805,4311.049805,29102200
2023-04-04,4312.149902,4346.950195,4311.020020,4315.319824,4315.319824,28187400
2023-04-05,4316.290039,4320.830078,4286.209961,4298.359863,4298.359863,29791800
2023-04-06,4295.549805,4313.740234,4293.850098,4309.450195,4309.450195,28509400
2023-04-11,4312.660156,4343.919922,4312.660156,4333.290039,4333.290039,30115400
2023-04-12,4332.330078,4374.229980,4323.669922,4334.029785,4334.029785,30179800
2023-04-13,4334.669922,4363.609863,4334.669922,4363.240234,4363.240234,28715800
2023-04-14,4364.089844,4397.580078,4363.310059,4390.750000,4390.750000,35527500
2023-04-17,4392.399902,4401.970215,4366.220215,4367.609863,4367.609863,26853800
2023-04-18,4367.620117,4407.740234,4367.620117,4393.950195,4393.950195,26674700
2023-04-19,4393.459961,4397.160156,4373.189941,4393.569824,4393.569824,25026300
2023-04-20,4391.919922,4400.609863,4365.910156,4384.859863,4384.859863,35898700
2023-04-21,4382.060059,4408.589844,4367.560059,4408.589844,4408.589844,39170700
2023-04-24,4398.509766,4411.669922,4387.640137,4401.799805,4401.799805,24129600
2023-04-25,4393.229980,4393.229980,4363.979980,4377.850098,4377.850098,30709500
2023-04-26,4373.209961,4373.209961,4324.430176,4347.709961,4347.709961,35478500
2023-04-27,4345.040039,4368.950195,4327.979980,4358.049805,4358.049805,27109300
2023-04-28,4353.919922,4376.299805,4305.629883,4359.310059,4359.310059,39594900
2023-05-02,4353.410156,4372.660156,4291.660156,4294.850098,4294.850098,33749900
2023-05-03,4303.529785,4329.029785,4303.529785,4310.180176,4310.180176,27493200
2023-05-04,4280.660156,4302.040039,4264.410156,4287.029785,4287.029785,31081600
2023-05-05,4280.919922,4340.479980,4280.919922,4340.430176,4340.430176,31872600
